Group1_key,ecatalogue_key,CatFullNumber,Present Sci name,Phylum,Class,Order,Family,Genus,Ocean,SeaGulf,BaySound,Country,ProvinceStateTerritory,DistrictCountyShire,Township,NearestNamedPlace,PreciseLocation,AquDepthFromMet,AquDepthToMet,ColDate,Year Collected,Collector,Lat,Long
375,375,IZ.046033,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,,,,1873,1873,Verrill,41.279,-72.797
376,376,IZ.046108,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
377,377,IZ.046109,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
378,378,IZ.046110,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,1877,1877,Verrill,41.307,-72.925
379,379,IZ.046111,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
380,380,IZ.046112,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
381,381,IZ.046113,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
382,382,IZ.046114,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,1883,1883,Verrill,41.307,-72.925
383,383,IZ.046115,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
384,384,IZ.046116,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
385,385,IZ.046117,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
386,386,IZ.046118,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
387,387,IZ.046119,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
388,388,IZ.046120,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
389,389,IZ.046121,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
390,390,IZ.046122,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
391,391,IZ.046123,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
392,392,IZ.046124,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
393,393,IZ.046125,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
394,394,IZ.046126,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
395,395,IZ.046127,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
396,396,IZ.046128,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
397,397,IZ.046129,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,1881-05-22,1881,Verrill,41.307,-72.925
398,398,IZ.046130,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
399,399,IZ.046131,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
400,400,IZ.046132,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,1877,1877,Verrill,41.307,-72.925
401,401,IZ.046133,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
402,402,IZ.046134,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
403,403,IZ.046135,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
404,404,IZ.046136,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
405,405,IZ.046137,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,West Haven,Savin Rock,,,1872-05-,1872,Verrill,41.275,-72.964
406,406,IZ.046138,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,West Haven,Savin Rock,,,,,,Verrill,41.275,-72.964
407,407,IZ.046139,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,West Haven,Savin Rock,,,1871-05-,1871,Verrill,41.275,-72.964
